"Reference","Qty","Value","Footprint"
"BAT1,BUCK_IN1,BUCK_OUT1,PLANT1,SOLAR1","5","S2B-PH-SM4-TB","Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical"
"C1,C3,C5,C10","4","4.7uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"C2,C4,C8,C9","4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C6","1","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C7","1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"C11,C12","2","100nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"D1","1","1N4148WS","Diode_SMD:D_SOD-323_HandSoldering"
"J1","1","Screw_Terminal_01x02","TerminalBlock_Altech:Altech_AK100_1x02_P5.00mm"
"J2","1","Conn_01x03","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical"
"J3","1","Conn_02x04_Counter_Clockwise","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical"
"Q1","1","AO3401","Package_TO_SOT_SMD:SOT-23"
"R1,R2","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R3","1","1M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R4,R9","2","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R5","1","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R6","1","1.6K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal"
"R7","1","2K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R8","1","3K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"R10","1","220","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"
"SW2","1","(EN)","Button_Switch_THT:SW_PUSH_6mm_H13mm"
"U1","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U2","1","TLC555xD","Package_SO:SOP-8_3.76x4.96mm_P1.27mm"
"U3","1","PC817","Package_DIP:DIP-4_W7.62mm"
"U4","1","","Library:ESP32 DevKit"
